"yearID","AB","H","HR","SO","SF","BA","BIP_AB","IPBA","era"
1901,77105,20957,455,6976,0,0.271798197263472,69674,0.294256107012659,"Before 1951"
1902,76280,20350,354,6630,0,0.266780283167278,69296,0.288559224197645,"Before 1951"
1903,75439,19776,335,7899,0,0.262145574570183,67205,0.289279071497656,"Before 1951"
1904,82488,20363,331,9299,0,0.246860149355058,72858,0.27494578495155,"Before 1951"
1905,81842,20298,338,9523,0,0.248014466899636,71981,0.277295397396535,"Before 1951"
1906,80061,19742,261,9110,0,0.24658697742971,70690,0.27558353373886,"Before 1951"
1907,80304,19701,244,8836,0,0.245330245068739,71224,0.273180388633045,"Before 1951"
1908,80679,19279,267,9078,0,0.238959332664014,71334,0.266520873636695,"Before 1951"
1909,80613,19657,259,9377,0,0.243844045005148,70977,0.273299801344097,"Before 1951"
1910,81551,20332,361,9677,0,0.249316378707802,71513,0.279263910058311,"Before 1951"
1911,82261,21914,514,9871,0,0.266395983515882,71876,0.297734988034949,"Before 1951"
1912,82039,22039,442,9684,0,0.26864052462853,71913,0.30032122147595,"Before 1951"
1913,81216,21021,470,9283,0,0.258828309692671,71463,0.287575388662665,"Before 1951"
1914,81589,20339,415,9766,0,0.249286055718295,71408,0.279016356710733,"Before 1951"
1915,81192,20145,385,9596,0,0.248115577889447,71211,0.277485219980059,"Before 1951"
1916,81923,20285,383,9534,0,0.247610561136677,72006,0.276393633863845,"Before 1951"
1917,82055,20391,335,8680,0,0.248504052160136,73040,0.274589266155531,"Before 1951"
1918,67315,17085,235,5925,0,0.253806729555077,61155,0.275529392527185,"Before 1951"
1919,74671,19624,447,6849,0,0.262806176427261,67375,0.284630797773655,"Before 1951"
1920,84178,23275,630,7247,0,0.276497422129297,76301,0.296785101112698,"Before 1951"
1921,85172,24782,937,6959,0,0.29096416662753,77276,0.308569284124437,"Before 1951"
1922,85346,24613,1055,6950,0,0.288390785742741,77341,0.304599113018968,"Before 1951"
1923,85229,24218,980,7021,0,0.284152107850614,77228,0.300901227534055,"Before 1951"
1924,84666,24271,896,6637,0,0.286667611555997,77133,0.303047982056967,"Before 1951"
1925,85432,24914,1169,6665,0,0.291623747541905,77598,0.306000154643161,"Before 1951"
1926,83752,23505,863,6777,0,0.280650014328016,76112,0.297482657136851,"Before 1951"
1927,84461,23960,922,6889,0,0.283681225654444,76650,0.300560991519896,"Before 1951"
1928,84480,23736,1093,7099,0,0.280965909090909,76288,0.296809458892617,"Before 1951"
1929,85210,24642,1349,6982,0,0.289191409458984,76879,0.302982609034977,"Before 1951"
1930,86571,25597,1565,7934,0,0.295676381236211,77072,0.311812331326552,"Before 1951"
1931,86624,24046,1069,7894,0,0.277590506095308,77661,0.295862788272106,"Before 1951"
1932,87182,24106,1358,7878,0,0.276502030235599,77946,0.291843070843918,"Before 1951"
1933,85222,22969,1067,7444,0,0.269519607613058,76711,0.285513159781518,"Before 1951"
1934,85911,23962,1344,8432,0,0.278916553177125,76135,0.297077559598082,"Before 1951"
1935,86437,24074,1325,8004,0,0.278514987794579,77108,0.295027753281112,"Before 1951"
1936,87638,24863,1364,8235,0,0.283701134211187,78039,0.301118671433514,"Before 1951"
1937,85963,23769,1430,9001,0,0.276502681386178,75532,0.29575544140232,"Before 1951"
1938,85013,23293,1475,8335,0,0.273993389246351,75203,0.290121404731194,"Before 1951"
1939,84879,23371,1445,8501,0,0.275344902743906,74933,0.292608063203128,"Before 1951"
1940,86003,23002,1571,9049,0,0.267455786426055,75383,0.28429486754308,"Before 1951"
1941,85854,22531,1331,8826,0,0.262433899410627,75697,0.280063939125725,"Before 1951"
1942,83731,21176,1071,8325,0,0.252905136687726,74335,0.270464787785027,"Before 1951"
1943,84701,21467,905,8546,0,0.253444469368721,75250,0.273249169435216,"Before 1951"
1944,85665,22307,1034,8185,0,0.260398062219109,76446,0.278274860685974,"Before 1951"
1945,84447,21977,1007,8045,0,0.260246071500468,75395,0.278135154851117,"Before 1951"
1946,84333,21555,1215,9696,0,0.255593895628046,73422,0.277028683500858,"Before 1951"
1947,84436,22003,1565,9157,0,0.260587900895353,73714,0.277260764576607,"Before 1951"
1948,84411,22234,1555,9016,0,0.263401689353283,73840,0.280051462621885,"Before 1951"
1949,84380,22168,1704,8951,0,0.262716283479497,73725,0.277572058324856,"Before 1951"
1950,84823,22559,2073,9554,0,0.265953809697841,73196,0.279878681895186,"Before 1951"
1951,85065,22191,1863,9335,0,0.26087109857168,73867,0.275197314091543,"1951 and later"
1952,84195,21272,1701,10380,0,0.252651582635548,72114,0.271389744016418,"1951 and later"
1953,84997,22459,2076,10213,0,0.264232855277245,72708,0.280340540243164,"1951 and later"
1954,83936,21908,1937,10215,795,0.261008387342737,72579,0.275162237010706,"1951 and later"
1955,83590,21610,2224,10803,698,0.258523746859672,71261,0.27204221102707,"1951 and later"
1956,83856,21653,2294,11505,644,0.258216466323221,70701,0.273815080409047,"1951 and later"
1957,84906,21865,2202,11948,687,0.257520081030787,71443,0.275226404266338,"1951 and later"
1958,83827,21621,2240,12225,644,0.257924057881112,70006,0.276847698768677,"1951 and later"
1959,84294,21636,2250,12604,616,0.256673072816571,70056,0.27672147995889,"1951 and later"
1960,84014,21434,2128,12815,692,0.255124145975671,69763,0.276736952252627,"1951 and later"
1961,97032,25066,2730,14947,761,0.25832714980625,80116,0.278795746168056,"1951 and later"
1962,110688,28521,3001,17567,846,0.257670208152645,90966,0.280544379218609,"1951 and later"
1963,109814,27043,2704,18773,769,0.246261860964904,89106,0.273146589455256,"1951 and later"
1964,110464,27669,2762,19212,739,0.250479794322132,89229,0.279135707001087,"1951 and later"
1965,109739,26952,2688,19283,766,0.245600925833113,88534,0.274064201323785,"1951 and later"
1966,109467,27207,2743,18805,742,0.248540656088136,88661,0.275927408894553,"1951 and later"
1967,109205,26464,2299,19413,738,0.242333226500618,88231,0.273883328988677,"1951 and later"
1968,108622,25710,1995,19143,753,0.236692382758557,88237,0.268764803880458,"1951 and later"
1969,131287,32581,3119,22473,914,0.248166231233862,106609,0.276355654775863,"1951 and later"
1970,132140,33555,3429,22374,990,0.253935220220978,107327,0.280693581298275,"1951 and later"
1971,130544,32547,2863,20956,987,0.249318237529109,107712,0.275586749851456,"1951 and later"
1972,124828,30434,2534,20718,883,0.24380747909123,102459,0.272304043568647,"1951 and later"
1973,132363,34010,3102,20358,1009,0.25694491663078,109912,0.281206783608705,"1951 and later"
1974,132256,33969,2649,19495,1104,0.256842789741108,111216,0.281614156236513,"1951 and later"
1975,131473,33863,2698,19280,1087,0.257566192298038,110582,0.28182706046192,"1951 and later"
1976,131525,33598,2235,18745,1183,0.255449534309067,111728,0.280708506372619,"1951 and later"
1977,143975,38037,3644,21722,1231,0.264191699947908,119840,0.286990987983979,"1951 and later"
1978,141567,36508,2956,20058,1274,0.257884959065319,119827,0.28000367196041,"1951 and later"
1979,142792,37911,3433,20035,1314,0.265498067118606,120638,0.285797178335185,"1951 and later"
1980,144160,38144,3087,20212,1296,0.264594894561598,122157,0.286983144641732,"1951 and later"
1981,94467,24157,1781,13237,829,0.255718928303005,80278,0.278731408355963,"1951 and later"
1982,144149,37651,3379,21221,1221,0.261195013492983,120770,0.283779084209655,"1951 and later"
1983,143538,37443,3301,21716,1256,0.260857751954186,119777,0.285046377852175,"1951 and later"
1984,143829,37381,3258,22500,1286,0.259898907730708,119357,0.285890228474241,"1951 and later"
1985,143075,36778,3602,22451,1144,0.257053992661192,118166,0.280757578322022,"1951 and later"
1986,143106,36880,3813,24706,1175,0.257711067320727,115762,0.285646412466958,"1951 and later"
1987,144095,37895,4458,25099,1110,0.26298622436587,115648,0.289127351964582,"1951 and later"
1988,142568,36244,3180,23355,1265,0.254222546433982,117298,0.281880338965711,"1951 and later"
1989,142821,36293,3083,23650,1240,0.254115291168666,117328,0.283052638756307,"1951 and later"
1990,142768,36817,3317,23853,1261,0.257879917068251,116859,0.286670260741577,"1951 and later"
1991,142968,36558,3383,24390,1249,0.255707570924962,116444,0.284900896568308,"1951 and later"
1992,142895,36544,3038,23538,1294,0.255740228839358,117613,0.284883473765655,"1951 and later"
1993,154995,41088,4030,26310,1430,0.265092422336204,126085,0.293912836578499,"1951 and later"
1994,110266,29743,3306,19766,992,0.26973863203526,88186,0.299786814233552,"1951 and later"
1995,138571,36975,4081,25425,1173,0.266830722156873,110238,0.298390754549248,"1951 and later"
1996,156801,42320,4962,29308,1400,0.269896237906646,123931,0.30144193139731,"1951 and later"
1997,155438,41471,4640,29937,1383,0.26680091097415,122244,0.301290860901149,"1951 and later"
1998,167116,44489,5064,31893,1402,0.266216280906676,131561,0.299670875107365,"1951 and later"
1999,167137,45327,5528,31119,1464,0.271196682960685,131954,0.301612683207785,"1951 and later"
2000,167290,45246,5693,31356,1514,0.270464462908721,131755,0.300201130886873,"1951 and later"
2001,166234,43879,5458,32404,1424,0.263959238182321,129796,0.296010662886376,"1951 and later"
2002,165582,43272,5059,31394,1399,0.26133275356017,130528,0.292757109585683,"1951 and later"
2003,166737,44057,5207,30801,1336,0.264230494731223,132065,0.294173323742097,"1951 and later"
2004,167353,44522,5451,31828,1363,0.266036461850101,131437,0.297260284394805,"1951 and later"
2005,166335,43991,5017,30644,1315,0.264472299876755,131989,0.295282182606126,"1951 and later"
2006,167341,45073,5386,31655,1396,0.269348217113559,131696,0.301353116267768,"1951 and later"
2007,167783,44977,4957,32189,1441,0.268066490645655,132078,0.303002771089811,"1951 and later"
2008,166714,43972,4878,32884,1365,0.263757092985592,130317,0.299991559044484,"1951 and later"
2009,165849,43524,5042,33591,1366,0.262431488884467,128582,0.299279836991181,"1951 and later"
2010,165353,42554,4613,34306,1301,0.257352452026876,127735,0.297029005362665,"1951 and later"
2011,165705,42267,4552,34488,1274,0.255073775685707,127939,0.294788922846044,"1951 and later"
2012,165251,42063,4934,36426,1223,0.25454006329765,125114,0.296761353645475,"1951 and later"
2013,166070,42093,4661,36710,1219,0.253465406154031,125918,0.297272828348608,"1951 and later"
2014,165614,41595,4186,37441,1277,0.251156303211081,125264,0.298641269638523,"1951 and later"
2015,165488,42106,4909,37446,1232,0.254435366914822,124365,0.299095404655651,"1951 and later"
2016,165561,42276,5610,38982,1214,0.255349991845906,122183,0.300090847335554,"1951 and later"
2017,165567,42215,6105,40104,1168,0.254972307283456,120526,0.299603405074424,"1951 and later"
2018,165432,41018,5585,41207,1235,0.247944774892403,119875,0.295582898852972,"1951 and later"
2019,166651,42039,6776,42823,1150,0.252257712224949,118202,0.298328285477403,"1951 and later"
2020,59030,14439,2304,15586,402,0.244604438421142,41542,0.292114005103269,"1951 and later"
2021,161941,39484,5944,42145,1143,0.243817192681285,114995,0.291664854993695,"1951 and later"
2022,163465,39675,5215,40812,1224,0.242712507264552,118662,0.290404678835685,"1951 and later"
2023,164418,40839,5868,41843,1230,0.248385213297814,117937,0.296522719757158,"1951 and later"
2024,163687,39823,5453,41197,1261,0.243287493814414,118298,0.290537456254544,"1951 and later"
2025,163664,40138,5650,40645,1307,0.245246358392805,118676,0.290606356803397,"1951 and later"
